,Название,Гибридность,Спелость,"Срок созревания, дн",Детерминантность,Высота,Масса плода
146,Томат Аурия желтая,False,Среднеспелый,,Индетерминантный,,От 100 до 150 г
147,Томат Анна Герман,False,Раннеспелый,,Индетерминантный,200-220 см,От 50 до 100 г
148,Томат Беркли тай дай хаат (Berkeley tie dye heart),False,Раннеспелый,,Индетерминантный,180-200 см,Более 250 г
149,Томат Бычье сердце черное,False,Раннеспелый,105-110,Индетерминантный,180-200 см,Более 250 г
150,Томат Алтайский оранжевый,False,Среднеспелый,112-115,Индетерминантный,до 200 см,Более 250 г
151,Томат Салтан,True,Раннеспелый,90-100,Полудетерминантный,,От 150 до 250 г
152,Томат Розовый слон,False,Среднеспелый,110-115,Полудетерминантный,,Более 250 г
153,Томат Буденовка,False,Среднеспелый,60-65,Индетерминантный,,От 150 до 250 г
154,Томат Алтайский розовый,False,Среднеспелый,110-115,Индетерминантный,150-180 см,Более 250 г
155,Томат Чудо-детки,False,Раннеспелый,95-105,Индетерминантный,160-180 см,
156,Томат Цитрусовый сад,False,Среднеспелый,116-120,Индетерминантный,160-180 см,От 50 до 100 г
157,Томат Бурый медведь,False,Среднеспелый,105-110,Индетерминантный,,От 150 до 250 г
158,Томат Толстосум,False,Раннеспелый,105-110,Индетерминантный,170-200 см,Более 250 г
159,Томат Абруццо,False,Раннеспелый,105-110,Индетерминантный,170-200 см,Более 250 г
160,Томат Тигренок,False,Среднеспелый,105-112,Индетерминантный,120-160 см,От 50 до 100 г
161,Томат Юбилейный Тарасенко,False,Среднеспелый,111-115,Индетерминантный,200-300 см,От 50 до 100 г
162,Томат Пузата хата,False,Раннеспелый,103-110,Индетерминантный,120-150 см,Более 250 г
163,Томат Шоколадный заяц,False,Раннеспелый,95-110,Индетерминантный,160-180 см,Более 250 г
164,Томат Черный бумер,True,Раннеспелый,90-95,Индетерминантный,более 200 см,От 100 до 150 г
165,Томат Черные глаза,False,Раннеспелый,105-115,Индетерминантный,,Более 250 г
166,Томат Червонец,True,Раннеспелый,90-95,Детерминантный,70-80 см,От 100 до 150 г
167,Томат Фокус-покус,False,Раннеспелый,100-105,Индетерминантный,,От 100 до 150 г
168,Томат Три малыша,False,Раннеспелый,45-55,Супердетерминантный,до 60 см,
169,Томат Поле чудес,False,Среднеспелый,110-115,Индетерминантный,,Более 250 г
170,Томат Дедушкина закуска,True,Ультраскороспелый,85-90,Детерминантный,до 75 см,От 150 до 250 г
171,Томат Брутус,False,Среднеспелый,105-115,Индетерминантный,,Более 250 г
172,Томат Снежный пик,False,Раннеспелый,108-112,Детерминантный,,От 150 до 250 г
173,Томат Шоколадная фабрика,False,Раннеспелый,,Индетерминантный,более 150 см,От 150 до 250 г
174,Томат Копилка,False,Среднеспелый,110-115,Индетерминантный,,От 100 до 150 г
175,Томат Модный коктейль,True,Раннеспелый,100-110,Индетерминантный,,
176,Томат Добрая фея,True,Ультраскороспелый,95-105,Детерминантный,,От 100 до 150 г
177,Томат Тигрелла (Tigerella),False,Раннеспелый,,Индетерминантный,180-200 см,От 25 до 50 г
178,Томат Шоколадное чудо,False,Среднеспелый,,Детерминантный,90-100 см,От 150 до 250 г
179,Томат Богатырь Илюша,False,Раннеспелый,95-100,Индетерминантный,170-190 см,От 150 до 250 г
180,Томат Алтайский букет,True,Раннеспелый,,Индетерминантный,,От 100 до 150 г
181,Томат Столыпин,False,Раннеспелый,95-105,Детерминантный,60-100 см,От 100 до 150 г
182,Томат Малиновый силач,False,Среднеспелый,112-116,Индетерминантный,,От 100 до 150 г
183,Томат Грейпфрут,False,Среднеспелый,110-115,Индетерминантный,200-250 см,Более 250 г
184,Томат Чудо карлик,True,Ультраскороспелый,85-90,Супердетерминантный,20-25 см,
185,Томат Розовая гирлянда,False,Ультраскороспелый,90-95,Детерминантный,,
186,Томат Зеро,False,Раннеспелый,105-110,Детерминантный,,От 150 до 250 г
187,Томат Дикий тимьян,False,Среднеспелый,107-112,Индетерминантный,,От 150 до 250 г
188,Томат Мулатка,False,Раннеспелый,110-115,Индетерминантный,,От 150 до 250 г
189,Томат Эхо,False,Раннеспелый,105-115,Детерминантный,,Более 250 г
190,Томат Амурский тигр розовый,False,Раннеспелый,105-110,Индетерминантный,180-200 см,Более 250 г
191,Томат Петр,True,Раннеспелый,105-110,Индетерминантный,,От 100 до 150 г
192,Томат Наполеон,True,Раннеспелый,103-108,Индетерминантный,,От 100 до 150 г
193,Томат Черный айсберг,False,Раннеспелый,95-110,Индетерминантный,150-180 см,Более 250 г
194,Томат Ням-ням,False,Раннеспелый,105-110,Индетерминантный,160-180 см,От 50 до 100 г
195,Томат Де Барао царский,False,Среднеспелый,110-120,Индетерминантный,180-200 см,От 100 до 150 г
196,Томат Сахарная гроздь,False,Ультраскороспелый,85-95,Супердетерминантный,до 50 см,
197,Томат Перцевидный полосатый,False,Среднеспелый,,Индетерминантный,,От 100 до 150 г
198,Томат Киви,False,Среднеспелый,,Индетерминантный,,Более 250 г
199,Томат Золото Амишей (Amish Gold),False,Раннеспелый,,Индетерминантный,190-220 см,От 50 до 100 г
200,Томат Королева сердец,False,Среднеспелый,115,Детерминантный,150-170 см,Более 250 г
201,Томат Москвич,False,Раннеспелый,100-105,Детерминантный,40-50 см,От 50 до 100 г
202,Томат Дрова желтые,False,Раннеспелый,90-95,Детерминантный,до 150 см,От 50 до 100 г
203,Томат Лонг-22,True,Среднеспелый,110-115,Индетерминантный,около 200 см,От 50 до 100 г
204,Томат Аэлита-71,True,Среднеспелый,100-115,Индетерминантный,,От 150 до 250 г
205,Томат Сладкие гирлянды,True,Раннеспелый,100-105,Индетерминантный,,
206,Томат Биг Рио-88,True,Раннеспелый,95-100,Детерминантный,,От 100 до 150 г
207,Томат Веселые ребята,True,Среднеспелый,105-115,Индетерминантный,более 200 см,От 100 до 150 г
208,Томат Толстые щечки,False,Среднеспелый,115-120,Индетерминантный,170-200 см,Более 250 г
209,Томат Елисей,False,Раннеспелый,95-105,Детерминантный,до 70 см,От 50 до 100 г
210,Томат Оранжевая слива,False,Раннеспелый,97-100,Детерминантный,60-70 см,От 50 до 100 г
211,Томат Пинк мама,False,Раннеспелый,100-110,Индетерминантный,170-200 см,От 150 до 250 г
212,Томат Никола,False,Среднеспелый,94-115,Детерминантный,60-65 см,От 50 до 100 г
213,Томат Север-81,True,Раннеспелый,95-110,Детерминантный,120-150 см,От 100 до 150 г
214,Томат Чудо-чудное,False,Среднеспелый,110-115,Индетерминантный,180-200 см,От 100 до 150 г
215,Томат Усыпанный,False,Раннеспелый,105-110,Детерминантный,,От 50 до 100 г
216,Томат Зеленый мед,False,Раннеспелый,107-112,Индетерминантный,,От 50 до 100 г
217,Томат Золотая россыпь,False,Раннеспелый,105-110,Индетерминантный,до 200 см,От 50 до 100 г
218,Томат Банан розовый,False,Раннеспелый,105-110,Индетерминантный,до 200 см,От 50 до 100 г
219,Томат Пища богов,False,Среднеспелый,112-115,Индетерминантный,,Более 250 г
220,Томат Сосулька черная,False,Раннеспелый,100-105,Индетерминантный,,От 50 до 100 г
221,Томат Знак качества,True,Раннеспелый,100-105,Индетерминантный,160-180 см,От 150 до 250 г
222,Томат Сладкий изюм,False,Среднеспелый,90-105,Индетерминантный,до 180 см,
223,Томат Изобилие,False,Раннеспелый,95-98,Индетерминантный,170-180 см,От 50 до 100 г
224,Томат Черный Мавр,False,Среднеспелый,115-120,Индетерминантный,160-180 см,От 50 до 100 г
225,Томат Черный барон,False,Среднеспелый,110-115,Индетерминантный,150-180 см,Более 250 г
226,Томат Бычье сердце розовое,False,Среднеспелый,110-115,Детерминантный,140-160 см,Более 250 г
227,Томат Кремлевский,True,Ультраскороспелый,,Детерминантный,,От 100 до 150 г
228,Томат Носики-курносики,False,Среднеспелый,105-110,Индетерминантный,,От 100 до 150 г
229,Томат Смайлик,False,Раннеспелый,95-105,Детерминантный,110-130 см,От 50 до 100 г
