,city,lat,lon
92,Фрязино,55.95,38.05
93,Фряново,56.13333333333333,38.43333333333333
94,Химки,55.88333333333333,37.43333333333333
95,Хотьково,56.25,37.983333333333334
96,Черноголовка,56.0,38.38333333333333
97,Черусти,55.55,40.0
98,Шатурторф,55.56666666666667,39.416666666666664
99,Щелково,55.91666666666666,38.0
100,Щербинка,55.5,37.56666666666667
101,Электрогорск,55.88333333333333,38.78333333333333
102,Электросталь,55.8,38.45
103,Электроугли,55.71666666666667,38.21666666666667
104,Яхрома,56.28333333333333,37.483333333333334
105,Санкт-Петербург,59.95,30.316666666666666
106,Бокситогорск,59.473576,0
107,Большая Ижора,59.945657,0
108,Будогощь,59.285569,0
109,Волосово,59.447275,0
110,Волхов,60.1289,32.3319
111,Всеволожск,60.021321,0
112,Выборг,60.710496,0
113,Вырица,59.413893,0
114,Высоцк,60.625604,0
115,Гатчина,59.56841,0
116,Ефимовский,59.497578,0
117,Ивангород,59.37649,0
118,Каменногорск,60.95081,0
119,Кикерино,59.45,29.616666666666667
120,Кингисепп,59.378053,0
121,Кириши,59.449695,0
122,Кобринское,59.426286,0
123,Колпино,59.75,30.6
124,Кронштадт,60.0,29.766666666666666
125,Лисий Нос,60.0,30.0
126,Лодейное Поле,60.734305,0
127,Луга,58.73333333333333,29.85
128,Парголово,60.083333333333336,30.25
129,Петродворец,59.88333333333333,29.9
130,Пикалёво,59.512684,0
131,Подпорожье,60.912097,0
132,Приозерск,61.035979,0
133,Сестрорецк,60.1,29.966666666666665
134,Тихвин,59.644213,0
135,Тосно,59.541179,0
136,Шлиссельбург,59.944959,0
137,Адыгейск,44.884525,0
138,Майкоп,44.611,0
139,Акутиха,52.43333333333333,84.46666666666667
140,Алейск,52.5,82.78333333333333
141,Алтайский,50.0,22.24
142,Барнаул,53.0,50.5
143,Белово,54.41666666666666,86.3
144,Белокуриха,52.0,84.98333333333333
145,Бийск,52.516666666666666,85.16666666666667
146,Благовещенск,50.25,127.53333333333333
147,Бурсоль,53.16666666666666,78.45
148,Горно-Алтайск,51.96,0
149,Ельцовка,54.3377,82.0114
150,Заринск,53.7,84.91666666666667
151,Змеиногорск,51.16666666666666,82.16666666666667
152,Камень-на-Оби,53.78333333333333,81.33333333333333
153,Кош-Агач,49.98333333333333,88.65
154,Кытманово,53.46666666666667,85.46666666666667
155,Новичиха,52.21666666666667,81.4
156,Новоалтайск,53.4,83.93333333333334
157,Онгудай,50.73333333333333,86.13333333333334
158,Ребриха,53.083333333333336,82.33333333333333
159,Рубцовск,51.0,38
160,Солонешное,51.65,84.31666666666666
161,Солтон,52.833333333333336,86.46666666666667
162,Табуны,52.766666666666666,78.76666666666667
163,Тальменка,53.81666666666667,83.55
164,Топчиха,52.81666666666667,83.11666666666666
165,Турочак,52.25,87.11666666666666
166,Тюменцево,53.31666666666667,81.51666666666667
167,Угловское,51.35,80.18333333333334
168,Усть-Калманка,52.11666666666667,83.31666666666666
169,Усть-Кокса,50.266666666666666,85.6
170,Усть-Улаган,50.61666666666667,87.95
171,Усть-Чарышская Пристань,52.4,83.65
172,Айгунь,49.978,127.490
173,Архара,49.41666666666666,130.06666666666666
174,Возжаевка,50.71666666666667,128.71666666666667
175,Ерофей Павлович,53.95,121.95
176,Завитинск,50.11666666666667,129.43333333333334
177,Златоустовск,52.95,133.58333333333334
178,Коболдо,52.963324,0
179,Магдагачи,53.45,125.8
180,Новобурейский,49.8,129.86666666666667
181,Райчихинск,49.8,129.4
182,Ромны,50.74281279018437,
183,Серышево,51.11666666666667,128.33333333333334
184,Сковородино,53.98333333333333,123.93333333333334
185,Тында,55.15,124.71666666666667
186,Шимановск,52.0,127.66666666666667
187,Экимчан,53.069024,0
