,Название,Форма растения,Вид бобовых,Высота растения,Срок созревания
153,Горох овощной Сахарная семейка,Плетистая,Горох,Среднерослое,Раннеспелый
154,Горох овощной Молодо-зелено,Кустовая,Горох,Среднерослое,Среднеспелый
155,Горох овощной Дружные ребятки,Кустовая,Горох,Среднерослое,Среднеспелый
156,Фасоль вьющаяся Екатерина,Вьющаяся,Фасоль,Среднерослое,Среднеспелый
157,Фасоль овощная Амстер-дамстер,Кустовая,Фасоль,Среднерослое,Среднеспелый
158,Фасоль овощная Кетти,Кустовая,Фасоль,Среднерослое,Раннеспелый
159,Фасоль овощная Анастасия,Вьющаяся,Фасоль,Высокорослое,Среднеспелый
160,Горох овощной Фиолетовый сахар,Вьющаяся,Горох,Высокорослое,Среднеспелый
161,Фасоль вьющаяся Ажурная беседка,Вьющаяся,Фасоль,Высокорослое,Позднеспелый
162,Фасоль вьющаяся Солнечный поток,Плетистая,Фасоль,Высокорослое,Раннеспелый
163,Фасоль обыкновенная Рубин,Кустовая,Фасоль,Низкорослое,Позднеспелый
164,Фасоль овощная Дружная семейка,Кустовая,Фасоль,Низкорослое,Раннеспелый
165,Фасоль вьющаяся Розалинда,Вьющаяся,Фасоль,Высокорослое,Среднеспелый
166,Фасоль овощная Альбина,Кустовая,Фасоль,Низкорослое,Раннеспелый
167,Фасоль вьющаяся Златовласка,Вьющаяся,Фасоль,Высокорослое,Среднеспелый
168,Фасоль овощная Настенька,Кустовая,Фасоль,Низкорослое,Среднеспелый
169,Фасоль овощная Изюминка-1118,Кустовая,Фасоль,Низкорослое,Раннеспелый
